Jan 4 2006,  1273.46	
Jan 11 2006,  1294.18	
Jan 18 2006,  1277.93	
Jan 25 2006,  1264.68	
Feb 1 2006,   1282.46	
Feb 8 2006,   1265.65	
Feb 15 2006,  1280.00	
Feb 22 2006,  1292.67	
Mar 1 2006,   1291.24	
Mar 8 2006,   1278.47	
Mar 15 2006,  1303.02
Mar 22 2006,  1305.04
Mar 29 2006,  1302.89	
Apr 5 2006,   1311.56	
Apr 12 2006,   1288.12
Apr 19 2006,  1309.93
Apr 26 2006,  1305.41	
May 3 2006,   1307.85
May 10 2006,  1322.85	
May 17 2006,  1270.32	
May 24 2006,  1258.57
May 31 2006,  1270.09	
Jun 7 2006,   1256.15	
Jun 14 2006,  1230.04	
Jun 21 2006,  1252.20
Jun 28 2006,  1246.00	
Jul 5 2006,   1270.91
Jul 12 2006,  1258.60	
Jul 19 2006,  1259.81	
Jul 26 2006,  1268.40
Aug 2 2006,   1278.55	
Aug 9 2006,   1265.95
Aug 16 2006,  1295.43	
Aug 23 2006,  1292.99	
Aug 30 2006,  1304.27
Sep 6 2006,   1300.26	
Sep 13 2006,  1318.07
Sep 20 2006,  1325.18
Sep 27 2006,  1336.59	
Oct 4 2006,   1350.22	
Oct 11 2006,  1349.95	
Oct 18 2006,  1365.96	
Oct 25 2006,  1382.22
Nov 1 2006,   1367.81	
Nov 8 2006,   1385.72	
Nov 15 2006,  1396.57
Nov 22 2006,  1406.09	
Nov 29 2006,  1399.48	
Dec 6 2006,   1412.90
Dec 13 2006,  1413.21	
Dec 20 2006,  1423.53	
Dec 27 2006,  1426.84	
